,User-id,Tweet
44,MarkisSkeptic,"@donkoclock @janisonhiatus @LuLu28686383 @MaudieLou5 @kathybrinkcors2 @PMjesty @lincconard @bab_102 @phantasmagnet @m46102620 @kein_unfug @MarciaBarrie @LngBch_Hwn @DebbieSylvain5 @ConsoliFred @HennyM14 @Color_Me_Jaded @GundersonD @DemocracyDefen4 @ltwlauren Vote like every race is 50/50
#VOTE 
#Roevember8th 
#democracy
#ExpandSCOTUS 
#FightFascism 
#NationalAbortionBan 
#BlackLivesMatter  
#LegalizeIt 
#WomensWave 
#AssaultWeaponsBan
#GayMarriageIsOnTheBallot 
#ContraceptionIsOnTheBallot 
#MagaWrongStuff 
#VoteLikeEveryRaceIs5050 https://t.co/OunB4UkaZI"
45,claytoonz,Who can the GOP replace Hershel Walker with? #HerschelWalker #kanye #Ye #Senate #BlackLivesMatter #WhiteLivesMatter #Georgia #Senate #Republicans https://t.co/VuElLJyyGC
46,IDLIVA,"@Welshsprout @RonReedwlvslvfr @CartistNy @keriRN @kristyshl @TranMariefrance @MairScott3 @zazzybritches @Ldogls @GDThor1 @RegVickers @ADirtyRottenDog @OklahomaPatrio1 @moriartydg @bettypge69 @politiolyc @Cha51brolll19 @RockyMtnView @vaato5455 @Carina59609030 @GShelia1951 @Name22412547 @McGeezer71 @bobbiejaneV @bingbingbong500 @Beleafer1 @62WalterP @gojoe_joe @ldog562 @BandieraNancy @CirclesSpinning @doug_in_nc @TilghmanChris @KeepsAtIt @patricia_millin @GreatTammie @yolalindayola @BonJS0370 @impinkestgirl @Ezim79 @MFrance923 @TJNugent520 @sugar1420 @CunningSq16 @SnyderGm @poppij @oldmanliver @BernadetteNTF @HopeVoteBiden I guess I shouldn’t wear my #BlackLivesMatter t-shirt?

Maybe I can get Kayne will let me borrow his White one.🤔🤣"
47,m25868198,"Since #Brexit doesn’t matter what colour you are, even if you are white you’re not good enough. I’m thinking of leaving or maybe should I stay to fight all of this #BlackLivesMatter #Brexit #racism #white #WhiteLivesMatter #NHS #London"
48,m25868198,"People talk about racism,about #BlackLivesMatter and staff,I’m #white but European with the indefinite permit to stay..not good enough for some #british"
49,ElainaCScott,@MRomaskyWrites ☹️☹️☹️☹️☹️
50,ElainaCScott,@GennHutchison Take some time for yourself. Refresh and recharge. 🤗🤗🤗🤗
51,docrussjackson,Staying Woke or being aware and conscious of racism rose to prominence again in the context of the #BlackLivesMatter movement and especially in the aftermath of the 2014 Ferguson protests when the hashtag #StayWoke was used a lot in conjunction with #BLM.
52,TuttsDoll,"I’m glad the officer got fired but I just need to point out how quickly they fired the officer due to the victim being white. If the victim was black, #blacklivesmatter  protests would have to go on for weeks or maybe months to finally get the cop at least fired. Smh https://t.co/757WfqmXes"
53,say_the_names,Yassin Mohamed #BlackLivesMatter
54,ElainaCScott,@chachango Congrats!!!
55,Bidenisurpresi2,"@Thomas87118572 @Trumpeter61 @Albert1879Big @AmoneyResists No, I'm here to use Republicans that don't understand algorithms. So...all of you. #TrumpIsANationalSecurityRisk #GOPSeditiousTraitors #GQPDomesticTerrorists #RepublicansHaveNoSolutions #RepublicansHATEwomen #BlackLivesMatter    #TrumpIsGoingToJail #TraitorTrumpFamily  #Trump"
56,telepathetic__,I... love her https://t.co/jXxNtWrxpf
57,marktsneed,Need a good read this weekend? Pick up No Credit today. A different hero story. Available on #Amazon now. #WednesdayThoughts #WednesdayMotivation #WritingCommunity #writersoftwitter #amwritingfiction #BlackLivesMatter #ShamelessSelfPromoWednesday #KindnessMatter #StrongerTogether https://t.co/4qz6bnqepM
58,WeActRadio,@billburr On behalf of #BlackDelegation we would like to release artist formerly known as #Kanyewest aka #ye for #BillBurr We will even throw in #CandaceOwens + #ClarenceThomas if U take entire line of #yeezy w/ U #whitelivesmatter since 1492 #blacklivesmatter since... #brokebillionaire https://t.co/KpeSigCOsP
59,adwaita_one,"Watching content made by women!
A Black Lady Sketch Show created by Robin Thede!
#content #writingcommunity #contentcreation #series #television #sketch #show #comedy #friendship #love #writing #womenempowerment #female #queerempowerment #representationmatters #blacklivesmatter https://t.co/xmt5FeA2Jc"
60,Axelman72,#BlackLivesMatter https://t.co/T2uyU9fzZo
61,OrbisBooks,"Knowing Christ Crucified is a powerful reading of the Cross of Jesus, both as it is written in scripture and in the experi­ence of the poor and oppressed

https://t.co/PdLYIDAC8l

#shawncopeland #blacklivesmatter #blm #christianity #blackfaith https://t.co/ocjCBw66wT"
62,YouthFuturesUK,"Be courageous, always! 💪

@BhmUK #BlackHistoryMonth #BlackLivesMatter #BLM https://t.co/BYpDzmBGNH"
63,hollyanndoan,"Blacklock’s uses names that groups call themselves, example #FreedomConvoy #BlackLivesMatter #AntiHateNetwork #CommunityMediaAdvocacyCentre.  “So-called” suggests we have an opinion. We don’t. Blacklock’s did not cover ANY trucker newser. Our focus is 100% gov’t accountability. https://t.co/uoRoO62NNK"
64,OldMainBell,"ding, ding^ DING* ding? ding Ding ding, ding? ding! Ding #PennState #BlackLivesMatter #JusticeForAll"
65,kha66363422,"@Pontifex just an opinion🦠

God should help in ending conflict one way or other; because sacrifice must be complete else it ends with lame disabilities e.g. #JammuKashmir #Gaza #BlackLivesMatter #divorce 

Attn: @UN @UNESCO @NATO @Israel @Ukraine @POTUS @WHO @BBCWorld @AlJazeera https://t.co/3knvrz4rjI"
66,BigBrotherHC,@GarysBlues #BlackLivesMatter crime spree…
67,Rivet_Soro,Kanye West Wants To Distract From Anti-Semitic Posts By Going On Dates #kanyejewish #kanyetwitter #kanyetweets #kimye #kanye #kimkardashian #kanyewest #ye #JulianaNalú #yeezy #yeezyszn9 #blacklivesmatter #kanyecandaceowens #candaceowens #riristea #entertainmentnews #celebritynews https://t.co/VVC21G41UG
68,bmrafrika,"Fathermoh Set To Drop New Jam ‘Chunli’ Ft. Kaligraph Jones, Smady &amp; Boutross
Read more 👉👉 https://t.co/YMlN1AqC4K

#Kenya #music #gengetone #BMR #BlackLivesMatter https://t.co/mAS1MKiYrv"
69,Manav_161,@accio_luck #BlackLivesMatter
70,hottest_yt,Lizzo Slams Kanye West For Ugly Comments About Her Weight #Lizzo #KanyeWest #BlackLivesMatter #WhiteLivesMatter #yeezy #BodyWeight #KimKardashianleaked https://t.co/Bvj6BadZ3Q
71,Godzilla_KOM,"@andreaxHearts Lol.

I always tread going to the DMV."
72,booshooo39,#BlackLivesMatter https://t.co/0XwOKac7LA
73,BotDefund,Defund the Solon Springs Police #BlackLivesMatter #DefundThePolice
74,ExplicitRealist,"EXPOSED: Herschel Walker PLAGIARIZES speech from late Civil Rights Leade... https://t.co/Nsv1BqQeac via @YouTube #MarjorieTaylorGreeneIsUnfit
@GA_Votes  #blackhistorymonth
 #blacklivesmatter  #BlackTwitter  #BLM"
75,Ekhym,"Failing to take action against Golubski for his corruption in raping, kidnapping, and framing black people in #WYCOKS is one more example of how @DerekSchmidtKS covers up for corrupt cops #BlackLivesMatter #UNFIT 

https://t.co/pxdWPa2yr3"
76,HowseKylisha,"omggg who is this furry wizard??? @alexstein99 standing up for #transrights n all minorities 🥲

So stunning, so brave 😭 spirit animal for lyfe #TransRightsAreHumanRights #pride #blm #BlackLivesMatter #LGBT #lgbtqcommunity #LGBTQIAispowerful 

https://t.co/pLqYxO0zMg"
77,Ekhym,"The only thing that is an ""isolated event"" about the murder of #georgefloyd was that his murderers were charged and convicted of his killing. @DerekSchmidtKS is wrong for #KS for covering up police brutality. #BlackLivesMatter"
78,say_the_names,Charly Keunang #BlackLivesMatter
79,JenDinnj,"@YoderSecreto @RitaJosephNYC @edokeefe #BlackLivesMatter in the handle and going all in for the guy pulling shotguns on black joggers. She's not just carrying water, she's trudging with a damn reservoir."
80,Ekhym,"Even though blacks represent only 13% of the population, they are 24% of those killed by police yet @DerekSchmidtKS falsely claims #georgefloyd's murder is an ""isolated incident"". #BlackLivesMatter 

https://t.co/pxdWPajBt3"
81,chimom24,"Las centrales ☄🔥🧭☢⚜🥶 nucleares comenzarán a 🔥🕖 la tal Gretta bailará sobre las cenizas de los millares de cadáveres ya que la i no cu la cion no cumplió la meta de despoblación gatessoros se relamben cual moscas en el estiércol. 
#NOM
#BlackLivesMatter 
#12deOctubre"
82,bradon_jemison,It’s appalling and disgusting that Apple doesn’t have the word “black” autocorrected to have a capital B. It’s universal now to capitalize it. Shows you that we have so far to go. #BlackLivesMatter
83,gerriannj,@innodim And those wounds will stunt and deform the rest of her life. She may find peace through therapy - but she will never be a whole unfettered human again. 😪😪😪
84,tbasharks,"Sat Jun 20 2020 Portland, Oregon - Police clear Justice Center protesters using impact munitions and stun grenades WATCH: https://t.co/cQbi0Z5EdL #PortlandOregon #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice"
85,EqualityNHSL,"Hugely important in the UK, Stephen Lawrence's legacy has changed our culture but we still need to keep the focus on equality and inequalities #BlackHistoryMonth #BlackAfrican  #Caribbean @BhmUK @NHSLanarkshire  @StaffCareNHSL #BlackLivesMatter https://t.co/971Z01K7ut"
86,FactsandScreen,"@OwenTimm2 @Iris12022 @KathyHochul Apparently, you like fascist policies, in the name of ""tough-on-crime""? Did you know that those types of policies are why the #BlackLivesMatter movement came into being in the first place? You endorse police brutality against innocent people of color. Go French-kiss Bull Connor"
87,BrooklynMAGA3,#BlackLivesMatter https://t.co/Nb33oOkvOS
88,Romulus_Remus,@TLDRNewsUK Hopefully King Charles can reign for 10-20 years so Prince William can be there and raise his family instead of being an absentee parent.
89,DrLeonJ,May your day be productive and/or orange https://t.co/vI7IB5qAFs
90,VeedusM,"#POTUS 
#SCOTUS 
#GOP 
#DNC 
#FoxNews 
#CNN 
#Antifa 
#BlackLivesMatter 
#PONTIFEX 
#CopelandNetwork 
#UN 
#NATO 
#WSJ 
#NYSE
#California 
#RepMTG 
#RepBoebert 

Joe Biden is ""ZANY"" like FETTERMAN during the interview below.
https://t.co/KcXKP0pHrZ"
91,M98Shruti,#BlackLivesMatter
92,Sam52160989,Natasha McKenna was having a schizophrenic episode when she was tazed   #SayTheirNames #BlackLivesMatter
93,Holesinteeth,@TYandThatGuy @JamesSACorey @weschatham That Tangerine Dream score...
94,filafresh,"Innocent HIS ASS... HE MURDERED HER OVER GETTING TAZED!!!!!!!!!!!!!!!!!!!!!!+++++++++++++++++ FUC OFFF
#SayHerName #PamelaTurner #BLM #BlackLivesMatter #DefundThePolice #EndPoliceBrutality #EXCESSIVEFORCE #SayTheirNames WE SAW HER GET MURDERED....PERIOD!!!! https://t.co/hcRnjoclcz"
95,CharonRichards2,"#EnoughIsEnough‼️ When will the “Law-Enforcement Lies and Coverups Stop @TheJusticeDept”⁉️

#NoJusticeNoPeace #SayTheirNames #EqualityForAll #EqualRightsAmendment @POTUS Biden and @VP Harris #BlackLivesMatter👇🏽‼️ https://t.co/sIiL5qvPeA"
96,Mawelac,"@XoliMngambi Such a disappointing tweet, considering that your have proclaimed yourself as one who's impartial."
97,JuliBunting,@JoyceWhiteVance @fromthevalley63 Especially since it sounds like they had to fly her in to sign the damn form.
98,TheLivesThatMtr,"Say their name. Ian Sherrod, 2015-02-28 #BlackLivesMatter."
99,neojimcrowart,"Quick Sip Reviews: Quick Sips - Speculative City #10 AFROFUTURISM

#poet #poetry #blackauthor #writer #afrofuturism #blackwriters #blackpoet #blm #blackexcellence #review #ados #blacklivesmatter #scifi #blackhistory #blacktwitter

Follow us @NeoJimCrowArt
https://t.co/dLYmFJ9kpI"
100,Holesinteeth,"@TYandThatGuy @JamesSACorey @weschatham What are the odds you guys would want to do an episode on Michael Mann's THE KEEP (1983)? It's such a weird movie, but it's oddly compelling. And it has like an excessive amount of world-building and lore for what's essentially your basic 'monsters &amp; Nazis' horror flick..."
101,BlmBoston,#environmentalracism #jackson #mississippi #water #watercrisis #flint #zanesville #roanoke #duplincounty #msmdistribution #operationgoodjackson #wethepeople #abolition #blackbostonians #wethenorth #blackliberation #blm #blacklivesmatter #blmboston
102,Bidenisurpresi2,"@ksorbs Yep, just got another. All of us haven't gone to the hospital. How's your side doing? #TrumpIsANationalSecurityRisk #GOPSeditiousTraitors #GQPDomesticTerrorists #RepublicansHaveNoSolutions #RepublicansHATEwomen #BlackLivesMatter    #TrumpIsGoingToJail #TraitorTrumpFamily #GOPLies"
103,DeeKayTM1,"IG - Darius Kirk / dee_kay3120 /mr.photogenictooreal 
SC - king_deekay 
Cash App - $DeeKay3120 #BlackLivesMatter                               always"
104,Yolanda33086702,"@sammywoodhouse1 why would you turn your back on what @theresa_may has done to deny the real #VictimsVoice @CommonsJustice ? 

Why would @TheAAAPPP @Blklivesmatter contact a @GrievingMothers without following through with what is their duty to #BlackLivesMatter ? https://t.co/Gkv11FbfAc"
105,Judy_Reach,Important work led by @RuizSealey &amp; @shamarikreid Grateful for you bringing this important conversation of #BlackLivesMatter into the spaces &amp; clinical training in teacher education programs @TC_OTE @TeachersCollege @AERA_EdResearch https://t.co/DFTXlBxJ4M
106,Bidenisurpresi2,"@MrNice1000 @Trumpeter61 @Thomas87118572 @Albert1879Big @AmoneyResists Until you can explain how an echo chamber is formed, you're not equipped for a debate. #TrumpIsANationalSecurityRisk #GOPSeditiousTraitors #GQPDomesticTerrorists #RepublicansHaveNoSolutions #RepublicansHATEwomen #BlackLivesMatter    #TrumpIsGoingToJail #TraitorTrumpFamily #GOP"
107,Bidenisurpresi2,@MrNice1000 @Trumpeter61 @Thomas87118572 @Albert1879Big @AmoneyResists I love how you're always incorrectly presumptive. #TrumpIsANationalSecurityRisk #GOPSeditiousTraitors #GQPDomesticTerrorists #RepublicansHaveNoSolutions #RepublicansHATEwomen #BlackLivesMatter    #TrumpIsGoingToJail #TraitorTrumpFamily #GOPLiesAboutEverything #TrumpCrimeFamily
108,DrLeonJ,@Jurretta Thank you!
109,iceimusprime,Confusion could lead to frustration right now. You may be give... More for Gemini https://t.co/ERq0tlJDxr
110,PrincessBlackL4,"The reason former govt min Brent Symonette can show COMPASSION/LOGIC (‘Haitian kids have right to education’): he’s worth $150MIL
👉🏾https://t.co/DUx99D8MBX 

THEY = Look, we can get jobs! Politicians = 👉🏾https://t.co/4jchsp6FBP

We care about HER best interests??
@antonioguterres"
111,Bidenisurpresi2,@MarshaBlackburn Marsha Blackburn is a traitor to her gender and country. #TrumpIsANationalSecurityRisk #GOPSeditiousTraitors #GQPDomesticTerrorists #RepublicansHaveNoSolutions #RepublicansHATEwomen #BlackLivesMatter    #TrumpIsGoingToJail #TraitorTrumpFamily #GOPLiesAboutEverything #GOP #GQP
112,Bidenisurpresi2,"@MrNice1000 @Trumpeter61 @Thomas87118572 @Albert1879Big @AmoneyResists Of course not, but you won't listen. Never have. So what's the point? #TrumpIsANationalSecurityRisk #GOPSeditiousTraitors #GQPDomesticTerrorists #RepublicansHaveNoSolutions #RepublicansHATEwomen #BlackLivesMatter    #TrumpIsGoingToJail #TraitorTrumpFamily #GOPLiesAboutEverything"
113,AngryEule,#ACAB #Polizeiproblem #PolizeiAbschaffen #KeinFreundUndHelfer #AbolishThePolice #NoJusticeNoPeace #YesAllCops #Polizeigewalt #BlackLivesMatter #SayHisName #SayTheirNames https://t.co/R9fupKe67h
114,Jasamgurlie,If y’all spent less time counting how many bathrooms Harry &amp; Meghan got &amp; more on what they actually do…the award wouldn’t be a shock. What you think all those appearances was for? They were all for specific issues that they are getting recognized for now w/ all of these awards.
115,DjCowboy64,"A bus driving HBCU students to an economic conference was likely targeted when it was pulled over and searched, the university's president said.  https://t.co/96pKUNj17i
#BlackLivesMatter"
116,neonbasshead,"#GoodMorning #world on this #wonderful #wednesday aka #humpday #remember #iloveyou and #yougotthis 
#BrandNewLiving #mentalhealthawarenessmonth #mentalhealthmatters #breastcancerawarenessmonth #virginia #roanoke #positivevibes #morningmotivation #lgbtqia #blacklivesmatter #gay https://t.co/KvOim9DLBT"
117,TheGr8Illusion,"Our emotional song, That Safe Place, with the fitting video! @GretaThunberg @CoryBooker @thelittleidiot @RepAdamSchiff @AOC #ahimsa #animalrights #progressive #lgbtq #equality #environment #feminism #peacelove #vegan #blm #blacklivesmatter  #antifa #resist https://t.co/vkfP2yJbGv"
118,FinancialNews,"Meta's Sophie Chandauka MBE says 23% of the UK’s minority ethnic graduates emerge from the country’s top universities, so “how is it that today we have no Black CEO, CFO or chair in the FTSE 100?” @theBBBAwards #BlackHistoryMonth #BlackLivesMatter https://t.co/Om00FXG3Sf"
119,OldMainBell,ding^ ding! Ding Ding^ ding ding... ding Ding^ ding #PennState #BlackLivesMatter #JusticeForAll
120,Mayank90740041,"@SweetPu48695542 @TheClearMinded Muslim women are protesting for hijab free right in Iran,Human rights getting violate in USA, #BlackLivesMatter ,the gun killings of even minor students,see pakistan there itself they declared they are Islamist country,minorities condition are worse,India follow constitutionalism"
121,bermudawlw,@HELEBING_ The most gorgeous couple🥹🥹🥹🥹
122,BLM_Finland,"Miksi on sellainen kuin Jussi-gaala?

Gaalan nimi tulisi vaihtaa sukupuolineutraaliksi.

#Jussigaala #Venlgaala"
123,200TO140,@time_baby1 But he is disgusted by her &amp; finds her ugly now she’s pregnant…that’s kinda what the main video was &amp; it’s obvious none of you watched it
124,gambitt89,@MissRedline we should play together sometime 🥰
125,Zarfreedom,"🎂 HAPPY BDAY TO ME AND I CHOSE TO WORK BECAUSE IM TOO BUSY! 31 and I’m blessed to still be here. Nothing stopping me. Have a blessed day loves🎂🌈
IM STILL GAY/BLACK AND TIRED🤭 #birthdayboy #bday #Libra #Beyoncè #LGBTQIAispowerful #BirthdaySpecial #Gay #Black #BlackLivesMatter https://t.co/ekcGVYlYEk"
126,elemental_facts,Your race should not determine your worth #blacklivesmatter #nototrump #elections2016#dumptrump
127,marktsneed,"What is so insulting is this rich, white guy thinks he can deny his way out of trouble. No one else can do that. SMH. #WednesdayThoughts #WednesdayMotivation #WritingCommunity #writersoftwitter #amwritingfiction #BlackLivesMatter #KindnessMatters #StrongerTogether #Resist https://t.co/7tlFO09KQH"
128,PuterGeek7,"Supreme Court reverses lower court ruling on counting undated mail-in ballots - CBS News

##VoteBlue2022 #VoteBlueIn2022 #Dems4USA #progressives #blacklivesmatter  https://t.co/yTsdsDcoS8"
129,marc_v27,"@thehill @SenTuberville was exactly right. Many #BlackLivesMatter leaders called looting #reparations 
https://t.co/KA2RYlBNtN"
130,say_the_names,William Green #BlackLivesMatter
131,rageagainstkage,"look what i made for Liv 🥹

all the books they’ve read this year https://t.co/30M7yQYroz"
132,marktsneed,This is a big deal. This island country is making a huge step to restart their tourist economy. Good gamble? We'll see. #WednesdayThoughts #WednesdayMotivation #WritingCommunity #writersoftwitter #amwritingfiction #BlackLivesMatter #KindnessMatters #StrongerTogether #Resist https://t.co/S3ReXaLRMV
133,PrincessBlackL4,"Hello @antonioguterres You have 100% NORMAL🧠so I’m sure👇🏾makes no sense to you too:

Even tourists @ Bahamar (who can afford $1k per p.m) Know🤑HER + CROWDS known to =👉🏾https://t.co/nU9wgTpWdQ
👉🏾https://t.co/z7I2J90fsi + I KNOW about YOUR💰? = Stand with MANY (job fair).

💰=🏝!"
134,RizTajK,@AJEnglish Cutting the wigs 😆. India also tried to participate before in #BlackLivesMatter where as all its movie artists spent millions to achieve gora (white) skin 😆😆
135,mvuyelwa_,Anyone who revamps cv’s around EL?
136,rageagainstkage,just like me to immediately bring my cat to the er when she sneezes one too many times
137,rebel4life2020,"This horrible incident happened in the Wilmington Police Department located in Wilmington, North Carolina. 

#NorthCarolina #Wilmington #Racism #Police #PoliceBrutality #PoliceMisconduct #News #WorldNews  #BLM #BlackLivesMatter #BlackTwitter @TheJusticeDept @UNHumanRights @hrw https://t.co/mxu72EPaDa"
138,fox54335421,Sad😔🥀 #BlackLivesMatter #drawings #sad #draw https://t.co/S8baETckAq
139,mediasutrainc,Screening &amp; community dialogue for the upcoming doc “Hold Your Fire” by @InterPositive hosted by @mediasutrainc. Register to get access to the film +get ready for a conversation with @InterPositive today! https://t.co/tEgoZ6ejs5  @Manauvaskar #conflictResolution #blacklivesMatter
140,STTPTVDC,"What questions should we be asking? New episode tonight at 9pm
#activism and the culture around it.
#WhiteLivesMatter 
#BlackLivesMatter 
#alllivesmatter
???
https://t.co/jPaN7Z86fm
Like subscribe share"
141,sirjackwindsor,"#BlackLivesMatter
#BlackHistoryMonth 
#RefugeesWelcome https://t.co/cCSy2lWxF7"
142,tbasharks,"Sat Jul 25 2020 Portland, Oregon - Image shows effect of stinger grenade WATCH: https://t.co/NjDyaVN3c7 #PortlandOregon #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice"
143,marktsneed,This low level attention getter's stunt has backfired and showed how families need to truly deal with addicted children. #WednesdayThoughts #WednesdayMotivation #WritingCommunity #writersoftwitter #amwritingfiction #BlackLivesMatter #KindnessMatters #StrongerTogether #Resist https://t.co/8hhUHHt0Ia
